물질키_InChIKey14,Murcko골격,eye_구분,eye_출처,skin_구분,skin_출처,대표성분명,대표CAS,대표SMILES,등장제형수
WPFFGMCNILGTEA,C1=CCC2(CC1)CCCC2,,,,,1-(Spiro[4.5]dec-7-en-7-yl)pent-4-en-1-one / 1-(Spiro[4.5]dec-6-en-7-yl)pent-4-en-1-one (isomer mixture),224031-70-3,C=CCCC(=O)C1=CCCC2(CCCC2)C1,1
WPFVBOQKRVRMJB,__ACYCLIC__,,,,,Hydroxycitronellal,107-75-5,CC(CC=O)CCCC(C)(C)O,3
WPPOGHDFAVQKLN,O=C1CCCN1,,,,,N-Octylpyrrolidone,,CCCCCCCCN1CCCC1=O,2
WPYMKLBDIGXBTP,c1ccccc1,1,phase1,2,phase1,Benzoic Acid,,O=C(O)c1ccccc1,1
WREGKURFCTUGRC,O=c1ncccn1C1CCCO1,,,,,"2',3'-Dideoxycytidine",,Nc1ccn([C@H]2CC[C@@H](CO)O2)c(=O)n1,1
WRMNZCZEMHIOCP,c1ccccc1,2A,phase1,NC,phase1,2-Phenylethanol,,OCCc1ccccc1,1
WRPIRSINYZBGPK,c1ccc(Oc2ccnc3ccccc23)cc1,NC,phase1,NC,phase1,quinoxyfen,124495-18-7,Fc1ccc(Oc2ccnc3cc(Cl)cc(Cl)c23)cc1,4
WRYLYDPHFGVWKC,C1=CCCCC1,,,,,Terpinen-4-ol,,CC1=CCC(O)(C(C)C)CC1,5
WSDISUOETYTPRL,O=C1CNC(=O)N1,2,팀원A,2,팀원A,"1,3-Dimethylol-5,5-dimethylhydantoin",6440-58-0,CC1(C)N(CO)C(=O)N(CO)C1=O,2
WSFSSNUMVMOOMR,__ACYCLIC__,1,phase1,1,phase1,Formaldehyde,50-00-0,C=O,2
WTARULDDTDQWMU,C=C1CCC2CC1C2,NC,phase1,2,phase1,Beta-Pinene,127-91-3,C=C1CCC2CC1C2(C)C,13
WTEVQBCEXWBHNA,__ACYCLIC__,,,,,Citral,,CC(C)=CCC/C(C)=C/C=O,3
WUOACPNHFRMFPN,C1=CCCCC1,2A,phase1,2,phase1,Alpha-Terpineol,,CC1=CCC(C(C)(C)O)CC1,8
WUSMTFVMXOQYCT,c1ccccc1,,,,,Phenol ethoxylate phosphate ester (2-Phenoxyethanol계),,O=P(O)(O)O.OCCOc1ccccc1,1
WVDDGKGOMKODPV,c1ccccc1,2A,phase1,NC,phase1,Benzyl Alcohol,100-51-6,OCc1ccccc1,7
WVQBLGZPHOPPFO,c1ccccc1,NC,팀원A,NC,팀원A,Identifiers,87392-12-9,CCc1cccc(C)c1N(C(=O)CCl)[C@@H](C)COC,3
WWZKQHOCKIZLMA,__ACYCLIC__,1,팀원A,1,팀원A,Caprylic Acid (Octanoic acid),124-07-2,CCCCCCCC(O)=O,5
WXQGPFZDVCRBME,C1=CC2CC23CCCCC3C1,,,,,Thujopsene,,CC1=CC[C@]2(C)CCCC(C)(C)[C@@]23C[C@@H]13,1
WXZVAROIGSFCFJ,c1ccc2ccccc2c1,2,팀원A,NC,팀원A,"Component CAS No. Weight, % Hazard Code Napropamide   - Surfactant  to <  , ,  Surfactant 2 - <  , ,  Solvent - >",15299-99-7,CCN(CC)C(=O)C(C)Oc1cccc2ccccc12,7
WYEMLYFITZORAB,O=C(Nc1ccccc1-c1ccccc1)c1cccnc1,NC,phase1,NC,phase1,Boscalid,188425-85-6,ClC1=CC=C(C=C1)C1=C(NC(=O)C2=C(Cl)N=CC=C2)C=CC=C1,8
WYVVKGNFXHOCQV,__ACYCLIC__,1,phase1,NC,phase1,3-Iodo-2-propynyl-N-butylcarbamate,55406-53-6,CCCCNC(=O)OCC#CI,12
WZJZMXBKUWKXTQ,O=C(Nc1ccccc1)Oc1ccccc1,NC,팀원A,NC,팀원A,desmedipham (ISO); ethyl 3-phenylcarbamoyloxyphenylcarbamate 15,13684-56-5,CCOC(=O)Nc1cccc(OC(=O)Nc2ccccc2)c1,3
XAPCMTMQBXLDBB,__ACYCLIC__,,,,,Hexyl butyrate,,CCCCCCOC(=O)CCC,2
XCJYREBRNVKWGJ,c1ccc2c(c1)-c1nc-2nc2[n-]c(nc3nc(nc4[n-]c(n1)c1ccccc41)-c1ccccc1-3)c1ccccc21,,,,,Copper phthalocyanine,,[Cu+2].c1ccc2c(c1)-c1nc-2nc2[n-]c(nc3nc(nc4[n-]c(n1)c1ccccc41)-c1ccccc1-3)c1ccccc21,1
XCVNDBIXFPGMIW,__ACYCLIC__,1,팀원A,1,팀원A,"1-Propanamine, N-ethyl- (N-ethylpropylamine, i.e. EP-Amin)",20193-20-8,CCCNCC,1
XDDAORKBJWWYJS,__ACYCLIC__,1,phase1,2,phase1,Glyphosate,1071-83-6,OC(=O)CNCP(O)(O)=O,34
XDOTVMNBCQVZKG,__ACYCLIC__,NC,phase1,NC,phase1,Thiodicarb,59669-26-0,CSC(C)=NOC(=O)N(C)SN(C)C(=O)ON=C(C)SC,5
XDTMQSROBMDMFD,C1CCCCC1,NC,팀원A,2,팀원A,Cyclohexane,110-82-7,C1CCCCC1,1
XERJKGMBORTKEO,__ACYCLIC__,NC,팀원A,NC,팀원A,Cymoxanil,57966-95-7,CCNC(=O)NC(=O)/C(C#N)=N/OC,9
XLIDPNGFCHXNGX,__ACYCLIC__,,,,,Clay,,[Al+3].[Al+3].[O-2].[O-2].[O-2].[O-2].[O-2].[Si+4],2
XLYOFNOQVPJJNP,__ACYCLIC__,NC,phase1,NC,phase1,Water,7732-18-5,O,19
XMGQYMWWDOXHJM,C1=CCCCC1,2A,phase1,2,phase1,1-Methyl-4-Prop-1-En-2-Ylcyclohexene,5989-27-5,C=C(C)C1CC=C(C)CC1,20
XMTQQYYKAHVGBJ,c1ccccc1,NC,팀원A,NC,팀원A,Diuron,330-54-1,CN(C)C(=O)NC1=CC(Cl)=C(Cl)C=C1,21
XNFIRYXKTXAHAC,c1ccc(-c2ccc[nH]2)cc1,NC,phase1,NC,phase1,Tralopyril,122454-29-9,N#Cc1c(-c2ccc(Cl)cc2)[nH]c(C(F)(F)F)c1Br,4
XOPFESVZMSQIKC,O=C(Nc1ncncn1)NS(=O)(=O)c1ccccc1,NC,팀원A,NC,팀원A,Triasulfuron,82097-50-5,COC1=NC(C)=NC(NC(=O)NS(=O)(=O)C2=C(OCCCl)C=CC=C2)=N1,2
XQJQCBDIXRIYRP,O=C(Nc1ccccc1C1CC1C1CC1)c1cn[nH]c1,NC,팀원A,NC,팀원A,Sedaxane,874967-67-6,Cn1cc(C(=O)Nc2ccccc2C2CC2C2CC2)c(C(F)F)n1,6
XQUXKZZNEFRCAW,O=C(OCc1cccc(Oc2ccccc2)c1)C1CC1,NC,팀원A,NC,팀원A,Fenpropathrin,39515-41-8,CC1(C)C(C(=O)OC(C#N)C2=CC=CC(OC3=CC=CC=C3)=C2)C1(C)C,2
XSKZXGDFSCCXQX,O=C(NS(=O)(=O)c1ccsc1)n1nc[nH]c1=O,NC,팀원A,NC,팀원A,Thiencarbazone-methyl,317815-83-1,COC(=O)c1csc(C)c1S(=O)(=O)NC(=O)n1nc(OC)n(C)c1=O,9
XSQUKJJJFZCRTK,__ACYCLIC__,,,,,Urea,57-13-6,NC(N)=O,6
XTRDKALNCIHHNI,c1ccccc1,NC,팀원A,NC,팀원A,"2,6-Dinitrotoluene",606-20-2,Cc1c([N+](=O)[O-])cccc1[N+](=O)[O-],1
XVOKUMIPKHGGTN,O=C1CN=C(c2ccccn2)N1,NC,팀원A,NC,팀원A,Imazethapyr,81335-77-5,CCC1=CN=C(C2=NC(C)(C(C)C)C(=O)N2)C(=C1)C(O)=O,5
XWPZUHJBOLQNMN,c1ccc(CC2CCCC2Cn2cncn2)cc1,1,팀원A,1,팀원A,"Metconazole (-[(4-chlorophenyl)methyl]-2,2-dimethyl-1-(1H-1,2,4- 38-43 Active Ingredient",125116-23-6,CC1(C)CCC(Cc2ccc(Cl)cc2)C1(O)Cn1cncn1,10
XWROTTLWMHCFEC,O=c1sc(=Nc2ccccc2)n2n1CCCC2,,,,,"({2-Chloro-4-fluoro-5-[(3-oxotetrahydro-1H,3H-[1,3,4]thiadiazolo[3,4-a]pyridazin-1-ylidene)amino]phenyl}sulfanyl)acetic acid",149253-65-6,OC(=O)CSC1=CC(N=C2SC(=O)N3CCCCN23)=C(F)C=C1Cl,2
XYCWOLUUHSNDRX,__ACYCLIC__,,,,,"Asbestos, Amosite",12172-73-5,O=[Si](O[Si]([O-])([O-])[O-])O[Si]([O-])([O-])O[Si](=O)O[Si]([O-])([O-])O[Si]([O-])([O-])O[Si](=O)O[Si]([O-])([O-])[O-].[Fe+2].[Fe+2].[Fe+2].[Fe+2].[Fe+2].[Fe+2].[Fe+2].[OH-].[OH-],1
XZRVRYFILCSYSP,C1=CCCCC1,,,,,Beta-Bisabolene,,C=C(CCC=C(C)C)[C@@H]1CC=C(C)CC1,3
YADYXCVYLIKQJX,c1ccc2nc3ccccc3cc2c1.c1ccc2nc3ccccc3cc2c1,,,,,0-1 proflavine hemisulfate dihydrate,1811-28-5,Nc1ccc2cc3ccc(N)cc3nc2c1.Nc1ccc2cc3ccc(N)cc3nc2c1.O=S(=O)(O)O,2
YASYVMFAVPKPKE,__ACYCLIC__,NC,팀원A,NC,팀원A,Acephate,30560-19-1,COP(=O)(NC(C)=O)SC,8
YCLUIPQDHHPDJJ,c1ccc2c(c1)Oc1ccccc1O2,,,,,"1,2,3,6,7,8-Hexachlorodibenzo-p-dioxin",57653-85-7,Clc1cc2c(c(Cl)c1Cl)Oc1cc(Cl)c(Cl)c(Cl)c1O2,1
YDEXUEFDPVHGHE,c1ccc(CCOc2ccccc2)cc1,,,,,1-2 Sodium alkylnaphthalenesulfonate,8061-51-6,COc1cc(CCCS(=O)(=O)[O-])ccc1OC(Cc1cccc(OC)c1O)CS(=O)(=O)[O-].[Na+].[Na+],4
YDONNITUKPKTIG,__ACYCLIC__,2,팀원A,2,팀원A,Aminotrimethylene phosphonic acid (ATMP / Amino tris(methylenephosphonic acid)),6419-19-8,OP(O)(=O)CN(CP(O)(O)=O)CP(O)(O)=O,1
YEJRWHAVMIAJKC,O=C1CCCO1,,,,,gamma-butyrolactone >= 1 - <,,O=C1CCCO1,4
YFBPRJGDJKVWAH,c1ccccc1,NC,팀원A,NC,팀원A,Methiocarb,2032-65-7,CNC(=O)Oc1cc(C)c(SC)c(C)c1,2
YFONKFDEZLYQDH,c1ccc2c(c1)CCC2Nc1ncncn1,NC,팀원A,NC,팀원A,Indaziflam,950782-86-2,CC(F)C1=NC(N)=NC(N[C@@H]2[C@@H](C)CC3=C2C=C(C)C=C3)=N1,6
YHAJBLWYOIUHHM,C1=C2CCCC2CCCC1,,,,,alpha-Bulnesene,,C=C(C)[C@@H]1CCC(C)=C2CC[C@H](C)[C@@H]2C1,2
YHQGMYUVUMAZJR,C1=CCCC=C1,,,,,Alpha-Terpinene,,CC1=CC=C(C(C)C)CC1,4
YIKSCQDJHCMVMK,__ACYCLIC__,,,,,"Synonyms : oxamide,oxalamide",471-46-5,NC(=O)C(N)=O,4
YIXJRHPUWRPCBB,__ACYCLIC__,2,팀원A,2,팀원A,magnesium nitrate >= 20 - <,10377-60-3,O=[N+]([O-])[O-].O=[N+]([O-])[O-].[Mg+2],4
YKBZOVFACRVRJN,C1CCOC1,NC,phase1,NC,phase1,1-Methyl-2-nitro-3-((tetrahydrofuran-3-yl)methyl)guanidine,165252-70-0,CNC(NCC1CCOC1)=N[N+]([O-])=O,21
YKFLAYDHMOASIY,C1=CCC=CC1,,,,,Gamma-Terpinene,,CC1=CCC(C(C)C)=CC1,5
YLHCJWZWKGVBOS,O=C1NC(=O)C2C3C=CC(C3)C12,NC,팀원A,NC,팀원A,"1,2,3,6-Tetrahydro-N-octyl-3,6-methanophthalimide",7786-80-3,CCCCCCCCN1C(=O)C2C3CC(C=C3)C2C1=O,4
YMBFCQPIMVLNIU,C1=CC2CC(C1)C2,,,,,Trans-alpha-Bergamotene,,CC(C)=CCC[C@]1(C)[C@H]2CC=C(C)[C@@H]1C2,2
YMWUJEATGCHHMB,__ACYCLIC__,2,팀원A,2,팀원A,Methylene Chloride,75-09-0,ClCCl,2
YNJBWRMUSHSURL,__ACYCLIC__,,,,,Trichloroacetic Acid,,O=C(O)C(Cl)(Cl)Cl,1
YNQLUTRBYVCPMQ,c1ccccc1,NC,팀원A,NC,팀원A,Ethylbenzene,100-41-4,CCc1ccccc1,11
YREQHYQNNWYQCJ,c1ccc(CCOCc2cccc(Oc3ccccc3)c2)cc1,NC,phase1,NC,phase1,Etofenprox,80844-07-1,CCOC1=CC=C(C=C1)C(C)(C)COCC1=CC(OC2=CC=CC=C2)=CC=C1,3
YRIZYWQGELRKNT,O=c1[nH]c(=O)[nH]c(=O)[nH]1,2A,phase1,NC,phase1,Trichloroisocyanuric Acid,87-90-1,O=c1n(Cl)c(=O)n(Cl)c(=O)n1Cl,18
YTYGAJLZOJPJGH,O=C(NC(=O)c1ccccc1)Nc1ccccc1,NC,phase1,NC,phase1,Noviflumuron,121451-02-3,FC(C(F)(F)F)C(F)(F)OC1=C(Cl)C=C(NC(=O)NC(=O)C2=C(F)C=CC=C2F)C(F)=C1Cl,4
YUBJPYNSGLJZPQ,c1ccncc1,NC,phase1,NC,phase1,Dithiopyr,97886-45-8,CSC(=O)C1=C(N=C(C(C(=O)SC)=C1CC(C)C)C(F)(F)F)C(F)F,4
YWTYJOPNNQFBPC,N=C1NCCN1Cc1cccnc1,NC,phase1,NC,phase1,Imidacloprid,138261-41-3,O=[N+]([O-])/N=C1\NCCN1Cc1ccc(Cl)nc1,76
YXFVVABEGXRONW,c1ccccc1,,,,,Toluene,108-88-3,Cc1ccccc1,8
YXKMMRDKEKCERS,c1ccc(-c2cnc[nH]2)cc1,NC,팀원A,NC,팀원A,"Cyazofamid 4-chloro-2-cyano-N,N-dimethyl-5-p-tolylimidazole-1-sulfonamide",120116-88-3,Cc1ccc(-c2c(Cl)nc(C#N)n2S(=O)(=O)N(C)C)cc1,2
YXWCBRDRVXHABN,O=C(OCc1cccc(Oc2ccccc2)c1)C1CC1C=Cc1ccccc1,2,팀원A,2,팀원A,Flumethrin,69770-45-2,CC1(C)C(C=C(Cl)c2ccc(Cl)cc2)C1C(=O)OC(C#N)c1ccc(F)c(Oc2ccccc2)c1,8
YYJNOYZRYGDPNH,C(=NOCc1ccccc1)c1cn[nH]c1Oc1ccccc1,NC,팀원A,NC,팀원A,Fenpyroximate,134098-61-6,CN1N=C(C)C(C=NOCC2=CC=C(C=C2)C(=O)OC(C)(C)C)=C1OC1=CC=CC=C1,2
ZBMRKNMTMPPMMK,__ACYCLIC__,NC,phase1,NC,phase1,Glufosinate-ammonium,77182-82-2,[NH4+].CP(O)(=O)CCC(N)C([O-])=O,8
ZEKANFGSDXODPD,__ACYCLIC__,NC,phase1,NC,phase1,Isopropylamine salt of glyphosate,38641-94-0,CC(C)N.O=C(O)CNCP(=O)(O)O,9
ZFMSMUAANRJZFM,c1ccccc1,,,,,Estragole,,C=CCc1ccc(OC)cc1,1
ZFSLODLOARCGLH,O=c1[nH]c(=O)[nH]c(=O)[nH]1,,,,,CYANURIC ACID,108-80-5,O=c1[nH]c(=O)[nH]c(=O)[nH]1,1
ZFUKERYTFURFGA,O=C1OC2CC(CC=CC(OC3CCC(OC4CCCCO4)CO3)CC=CC=C3COC4CC=CC1C34)OC1(C=CCCO1)C2,NC,팀원A,NC,팀원A,Avermectin B1b,65195-56-4,[H][C@@]12OCC3=C/C=C/[C@H](C)[C@H](O[C@H]4C[C@H](OC)[C@@H](O[C@H]5C[C@H](OC)[C@@H](O)[C@H](C)O5)[C@H](C)O4)C(C)=CC[C@]4([H])C[C@@]([H])(C[C@@]5(O[C@H](C(C)C)[C@@H](C)C=C5)O4)OC(=O)[C@]([H])(C=C(C)[C@H]1O)[C@@]23O,4
ZGNITFSDLCMLGI,O=C(Nc1ccccc1)c1ccccc1,NC,팀원A,NC,팀원A,Flubendiamide,272451-65-7,CC1=CC(=CC=C1NC(=O)C1=CC=CC(I)=C1C(=O)NC(C)(C)CS(C)(=O)=O)C(F)(C(F)(F)F)C(F)(F)F,2
ZHLICBPIXDOFFG,c1ccc(-c2ccccc2)cc1,,,,,Polychlorinated Biphenyls (PCBs),1336-36-3,Clc1cc(-c2cc(Cl)c(Cl)c(Cl)c2)cc(Cl)c1Cl,1
ZKAQFYDDTYGBBV,__ACYCLIC__,,,,,Zinc alkyl dithiophosphate ≥5 - <10,68649-42-3,CCCCCCCOP(=S)([S-])OCCCCCCC.CCCCCCCOP(=S)([S-])OCCCCCCC.[Zn+2],2
ZLIBICFPKPWGIZ,c1ccc(Nc2ncccn2)cc1,NC,팀원A,NC,팀원A,Pyrimethanil (ISO) >= - <50 %,53112-28-0,Cc1cc(C)nc(Nc2ccccc2)n1,4
ZMMDPCMYTCRWFF,__ACYCLIC__,,,,,Copper(II) carbonate basic,12069-69-1,O[Cu]OC(=O)O[Cu]O,2
ZNQVEEAIQZEUHB,__ACYCLIC__,NC,팀원A,NC,팀원A,2-Ethoxyethanol (Cellosolve),110-80-5,CCOCCO,2
ZOCSXAVNDGMNBV,c1ccc(-n2cccn2)cc1,NC,phase1,NC,phase1,Fipronil,120068-37-3,NC1=C(C(=NN1C1=C(Cl)C=C(C=C1Cl)C(F)(F)F)C#N)S(=O)C(F)(F)F,24
ZOMSMJKLGFBRBS,O=C1NS(=O)(=O)Nc2ccccc21,2,팀원A,NC,팀원A,Bentazon,25057-89-0,CC(C)N1C(=O)c2ccccc2NS1(=O)=O,2
ZPWVASYFFYYZEW,__ACYCLIC__,,,,,"Potassium Phosphate, Dibasic KH PO 00-10",7758-11-4,O=P([O-])([O-])O.[K+].[K+],2
ZQEIXNIJLIKNTD,c1ccccc1,1,팀원A,NC,팀원A,(R)-Metalaxyl,57837-19-1,COCC(=O)N(c1c(C)cccc1C)[C@H](C)C(=O)OC,65
ZQPPMHVWECSIRJ,__ACYCLIC__,2,팀원A,2,팀원A,Oleic acid,112-80-1,CCCCCCCCC=C/CCCCCCCC(O)=O,1
ZRGAGHDXHBGIJK,c1ccc2ccccc2c1,,,,,"Sodium alkylnaphthalenesulfonate, formaldehyde condensate (-No)",36290-04-7,C=O.O=S(=O)([O-])c1ccc2ccccc2c1.[Na+],2
ZSDSQXJSNMTJDA,c1ccccc1,NC,팀원A,NC,팀원A,Trifluralin 480 g/L,1582-09-8,CCCN(CCC)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-],8
ZTHYODDOHIVTJV,c1ccccc1,,,,,Propyl Gallate,,CCCOC(=O)c1cc(O)c(O)c(O)c1,2
ZTMKADLOSYKWCA,O=c1[nH]c2c(c(=O)n1C1CCCCC1)CCC2,,,,,Lenacil,,O=c1[nH]c2c(c(=O)n1C1CCCCC1)CCC2,1
ZUPBLUYKASBIGF,C1C2CC3C1C3C2.C=C1CC2CCC1C2,NC,phase1,NC,phase1,Santalyl acetate,1323-00-8,C=C1[C@@H]2CC[C@@H](C2)[C@@]1(C)CC/C=C(/C)COC(C)=O.CC(=O)OC/C(C)=C\CC[C@]1(C)C2CC3[C@H](C2)C31C,1
ZVQOOHYFBIDMTQ,c1ccncc1,,,,,Sulfoxaflor,,CC(c1ccc(C(F)(F)F)nc1)S(C)(=O)=NC#N,2
ZWEHNKRNPOVVGH,__ACYCLIC__,2,팀원A,NC,팀원A,Butan-2-one w/w,78-93-3,CCC(C)=O,2
ZXEKIIBDNHEJCQ,__ACYCLIC__,1,팀원A,2,팀원A,Isobutanol,78-83-1,CC(C)CO,4
ZXPADFNEYYDQFL,O=c1cccccc1,,,,,"2-Hydroxy-4-(1-methylethenyl)-2,4,6-cycloheptatrien-1-one",,C=C(C)c1cccc(O)c(=O)c1,1
ZXQYGBMAQZUVMI,O=C(OCc1cccc(Oc2ccccc2)c1)C1CC1,2,팀원A,2,팀원A,lambda-Cyhalothrin,91465-08-6,CC1(C)[C@H](C=C(/Cl)C(F)(F)F)[C@@H]1C(=O)O[C@@H](C#N)C1=CC(OC2=CC=CC=C2)=CC=C1,41
ZYEMGPIYFIJGTP,c1ccccc1,NC,팀원A,NC,팀원A,"1,2-Dimethoxy-4-(2-propen-1-yl)benzene",93-15-2,COC1=CC=C(CC=C)C=C1OC,3
ZYGHJZDHTFUPRJ,O=c1ccc2ccccc2o1,,,,,Coumarin,,O=c1ccc2ccccc2o1,2
